Latitude,Longitude
33.16888,-99.30542
33.22257,-99.23044
33.17915,-99.34918
33.18891,-99.28828
33.11533,-99.30157
33.2202,-99.24048
33.1549,-99.31252
33.20649,-99.28376
33.16834,-99.30018
33.17303,-99.30955
33.17063,-99.33752
33.18453,-99.25348
33.17025,-99.24515
33.12887,-99.3407
33.16984,-99.31381
33.10149,-99.29419
33.15738,-99.33942
33.09195,-99.30551
33.20959,-99.25893
33.14352,-99.32037
33.15587,-99.34981
33.2133,-99.25303
33.10212,-99.28841
33.19041,-99.27307
33.20514,-99.22542
33.14652,-99.32561
33.22041,-99.22413
33.20239,-99.22085
33.2024,-99.21513
33.19033,-99.26762
33.17256,-99.29672
33.17505,-99.32861
33.17256,-99.32391
33.18554,-99.23595
33.16532,-99.29263
33.15314,-99.29503
33.21988,-99.28359
33.20728,-99.27839
33.14709,-99.33089
33.185,-99.26017
33.20055,-99.20293
33.13151,-99.34544
33.14852,-99.33608
33.16761,-99.34912
33.20894,-99.27045
33.1653,-99.28213
33.09014,-99.31671
33.19374,-99.27666
33.11313,-99.30835
33.11448,-99.32383
27.19623,-97.48133
27.13926,-97.61203
27.19748,-97.58936
27.17242,-97.63619
27.16979,-97.60749
27.17374,-97.60244
27.13046,-97.6218
27.21347,-97.56375
27.13911,-97.66825
27.13656,-97.67263
27.169,-97.64169
27.13705,-97.61403
27.19315,-97.59867
27.17917,-97.51412
27.16184,-97.61741
27.16583,-97.6127
27.20654,-97.57314
27.18421,-97.53571
27.16867,-97.55265
27.16742,-97.64444
27.19702,-97.49314
27.19694,-97.48906
27.19912,-97.58599
27.1916,-97.60179
27.14175,-97.60912
27.17513,-97.5453
27.16779,-97.61005
27.15395,-97.62775
27.21506,-97.56158
27.1755,-97.60003
27.18561,-97.57047
27.19368,-97.51865
27.14422,-97.64072
27.18691,-97.56722
27.17189,-97.60485
27.13338,-97.67989
27.18206,-97.53791
27.19646,-97.50951
27.19675,-97.48504
27.16942,-97.5055
27.20991,-97.56835
27.16601,-97.64749
27.19607,-97.59238
27.14604,-97.63807
27.15531,-97.59327
27.13542,-97.67535
27.1528,-97.59506
27.17503,-97.49647
27.18879,-97.56448
27.15196,-97.6302
27.18604,-97.53331
27.18549,-97.61025
27.18267,-97.51025
27.17075,-97.63882
27.15009,-97.63298
27.13782,-97.67053
27.20823,-97.57073
27.2117,-97.56609
27.19657,-97.50547
27.13292,-97.61906
27.19462,-97.59552
27.1579,-97.62257
27.14214,-97.64314
27.17986,-97.54086
27.17067,-97.55001
27.1559,-97.62512
27.18102,-97.6203
27.14804,-97.63575
27.14072,-97.66644
27.18251,-97.61683
27.19689,-97.50142
27.13458,-97.67764
27.17418,-97.63323
27.17956,-97.62363
27.1729,-97.49939
27.17164,-97.50201
27.17747,-97.54247
27.19622,-97.51348
27.15621,-97.58975
27.14044,-97.64562
27.17809,-97.62701
27.1349,-97.61636
27.1972,-97.49726
27.15871,-97.58727
27.16071,-97.58445
27.20072,-97.58241
27.15989,-97.62001
27.19199,-97.53077
27.16289,-97.58168
27.18393,-97.61358
27.13633,-97.65119
27.19446,-97.55965
27.18707,-97.60724
27.19172,-97.56266
27.20192,-97.57903
27.14229,-97.66431
27.16354,-97.61485
27.19285,-97.5222
27.14355,-97.60636
27.13806,-97.64838
27.17296,-97.54766
33.0864,-98.3233
33.0924,-98.3271
33.09959,-98.32039
33.0607,-98.32089
33.06089,-98.31889
33.0664,-98.2944
33.06049,-98.3149
33.0729,-98.29429
33.085,-98.32589
33.0557,-98.37669
33.0565,-98.32389
33.0533,-98.37979
33.0594,-98.33329
33.0678,-98.30269
33.06839,-98.30549
33.0682,-98.30959
33.0719,-98.30319
33.0994,-98.32409
33.0589,-98.37499
33.06049,-98.31259
33.07319,-98.29639
33.0593,-98.33119
33.0645,-98.39079
33.05899,-98.32939
33.06149,-98.38749
33.05119,-98.38199
33.06992,-98.36206
33.05999,-98.30579
33.06089,-98.3169
33.0985,-98.30309
33.06279,-98.36939
33.10189,-98.29359
33.0663,-98.3886
33.06649,-98.33119
33.10439,-98.2972
33.07129,-98.36039
33.08809,-98.32159
33.08099,-98.30609
33.0668,-98.29639
33.06239,-98.3112
33.06789,-98.38619
33.0701,-98.38079
33.06559,-98.328
33.07309,-98.29899
33.09739,-98.30479
33.05729,-98.37589
33.05679,-98.32599
33.09959,-98.301
33.0636,-98.30859
33.0925,-98.3243
33.08109,-98.30299
33.07079,-98.37849
33.1018,-98.29779
33.05879,-98.32289
33.0641,-98.29789
33.09609,-98.30759
33.0668,-98.33519
33.10029,-98.29919
33.0733,-98.35944
33.06149,-98.39079
31.75424,-101.65101
31.79272,-101.55177
31.75407,-101.66437
31.77585,-101.56659
31.81374,-101.55985
31.8141,-101.55507
31.78972,-101.53237
31.7543,-101.63001
31.75406,-101.6601
31.77729,-101.58738
31.73417,-101.57323
31.73001,-101.59551
31.77771,-101.5817
31.75451,-101.62174
31.75377,-101.6262
31.734,-101.58286
31.78364,-101.63942
31.75392,-101.65566
31.8139,-101.56422
31.74935,-101.57866
31.74888,-101.55238
31.78305,-101.63189
31.75456,-101.63411
31.73597,-101.62051
31.79299,-101.54665
31.8138,-101.56911
31.79001,-101.52826
31.79287,-101.6012
31.73514,-101.61569
31.74898,-101.54698
31.79301,-101.5924
31.75261,-101.59662
31.8136,-101.57501
31.77638,-101.56263
31.79011,-101.52245
31.75447,-101.63829
31.75262,-101.60081
31.72968,-101.60356
31.73402,-101.57784
31.74903,-101.54302
31.72982,-101.59963
31.79293,-101.5968
31.74873,-101.56114
31.77771,-101.57089
31.73375,-101.58734
31.74913,-101.58454
31.74867,-101.56501
31.75486,-101.61734
31.78372,-101.62465
31.73603,-101.61144
31.78398,-101.62834
31.77496,-101.59621
31.75263,-101.60497
31.78337,-101.63567
31.75464,-101.64229
31.7476,-101.59061
31.75432,-101.64662
31.75434,-101.71233
31.73998,-101.6577
31.76222,-101.67177
31.7487,-101.6737
31.7652,-101.63894
31.79433,-101.65957
31.72984,-101.69193
31.77132,-101.68162
31.78377,-101.64436
31.76383,-101.65997
31.75906,-101.67999
31.7953,-101.65533
31.76257,-101.69659
31.75321,-101.71659
31.73791,-101.7047
31.74,-101.69415
31.73179,-101.68275
31.74167,-101.6398
31.75516,-101.68552
31.76361,-101.69233
31.75637,-101.704
31.73286,-101.6781
31.78471,-101.65007
31.76581,-101.64379
31.73895,-101.66364
31.74736,-101.67942
31.73094,-101.68747
31.79724,-101.64639
31.77836,-101.66293
31.77254,-101.67704
31.77939,-101.65869
31.73859,-101.66958
31.74125,-101.62693
31.76438,-101.68643
31.73803,-101.69849
31.76265,-101.66543
31.75308,-101.69342
31.76054,-101.67612
31.74139,-101.63179
31.75537,-101.70815
31.74214,-101.64966
31.7613,-101.70046
31.77412,-101.67058
31.74357,-101.68945
31.75434,-101.68958
31.74446,-101.68424
31.79627,-101.65104
34.58378,-102.48356
34.62966,-102.44504
34.58485,-102.4589
34.62805,-102.44092
34.60989,-102.43664
34.53542,-102.4719
34.59531,-102.44948
34.51826,-102.41063
34.62222,-102.46149
34.61517,-102.49796
34.55608,-102.46171
34.63336,-102.48749
34.50877,-102.50288
34.54339,-102.50154
34.52319,-102.47988
34.5623,-102.5014
34.64006,-102.45397
34.50909,-102.4947
34.5874,-102.49291
34.61049,-102.44621
34.56044,-102.4369
34.50357,-102.41173
34.53936,-102.4804
34.61325,-102.50842
34.56167,-102.44096
34.58115,-102.44658
34.6134,-102.49326
34.61578,-102.52353
34.6326,-102.51959
34.62592,-102.50296
34.52283,-102.45828
34.64483,-102.46703
34.52578,-102.48842
